S3,S2,S1,S0,,VA2,VA1,VA0,SV,ETD,ET2,ET1,ET0
0,0,0,0,,0,0,0,0,0,0,0,0
0,0,0,1,,0,0,1,0,0,0,0,0
0,0,1,0,,0,0,1,0,1,0,0,1
0,0,1,1,,0,1,0,0,0,0,0,0
0,1,0,0,,0,1,0,0,1,0,1,0
0,1,0,1,,0,1,1,0,0,0,0,0
0,1,1,0,,0,1,1,0,1,0,1,1
0,1,1,1,,1,0,0,1,0,0,0,0
1,0,0,0,,1,0,0,1,1,1,0,0
1,0,0,1,,1,0,1,1,0,0,0,0
1,0,1,0,,1,0,1,1,1,1,0,1
1,0,1,1,,1,1,0,1,0,0,0,0
1,1,0,0,,1,1,0,1,1,1,0,1
