S2,S1,S0,A,,Y2,Y1,Y0
0,0,0,1,,0,0,0
0,0,1,1,,0,0,1
0,1,0,1,,0,1,1
0,1,1,1,,0,1,0
1,0,0,1,,1,1,0
1,0,1,1,,1,1,1
1,1,0,1,,1,0,1
1,1,1,1,,1,0,0
1,1,1,0,,1,0,0
1,1,0,0,,1,0,1
1,0,1,0,,1,1,1
1,0,0,0,,1,1,0
0,1,1,0,,0,1,0
0,1,0,0,,0,1,1
0,0,1,0,,0,0,1
0,0,0,0,,0,0,0
